Name,Diameter,a
(554099) 2012 KU50,236,41.1
(432949) 2012 HH2,235,34.9
(437360) 2013 TV158,235,112
(556067) 2014 JK80,235,39.6
(523644) 2010 VX11,234,39.3
(560552) 2015 GO50,234,44.2
(523591) 2001 QD298,233,43
(137294) 1999 RE215,232,45.3
184314 Mbabamwanawaresa,232,45.5
(385362) 2002 PT170,232,46.3
(501581) 2014 OB394,232,47
(523717) 2014 KY101,232,39.7
(523718) 2014 KZ101,232,126
(524216) 2001 RU143,232,39.4
(525258) 2004 VT75,232,39.2
(531015) 2012 BX154,232,73.2
(548504) 2010 NF146,232,43.2
(597614) 2007 RM314,232,71.9
(600181) 2011 OC61,232,45.2
(308634) 2005 XU100,231,43.2
(533508) 2014 HC200,231,65.7
(535993) 2015 BG519,230,38.9
(553138) 2011 BQ170,230,45.6
(469361) 2001 HY65,229,43.2
(529940) 2010 TB192,228,54.8
(554102) 2012 KW51,227,47.9
(471151) 2010 FD49,226,55.5
(533507) 2014 HV199,226,38
(559800) 2015 DW224,226,109
(504555) 2008 SO266,225,39.6
(525595) 2005 JP179,225,43
(559178) 2015 BM518,225,36.3
(533506) 2014 HU199,224,43.2
65489 Ceto,223,100
(523756) 2014 WD509,223,43.7
(48639) 1995 TL8,222,52.7
(149349) 2002 VA131,222,42
(385194) 1998 KG62,222,43.8
(416400) 2003 UZ117,222,44.2
(471152) 2010 FE49,222,53.8
474640 Alicanto,222,319
(495189) 2012 VR113,222,47.9
(523622) 2007 TG422,222,469
(523695) 2014 GS53,222,33.5
(523705) 2014 HE200,222,52.7
(524460) 2002 GF32,222,39.5
(525460) 2005 EX297,222,44.1
(531141) 2012 FK84,222,46.9
(533085) 2014 BW64,222,45.6
(536287) 2015 CL62,222,41.5
(576212) 2012 HL85,222,40.6
(558224) 2014 YC50,221,43.8
(119878) 2002 CY224,220,53.4
(535031) 2014 WL510,220,62.9
(578833) 2014 GV53,220,50.8
(578847) 2014 GJ65,220,51.6
(523767) 2014 WH510,218,75.9
472235 Zhulong,217,55.6
(82075) 2000 YW134,216,57.4
(469987) 2006 HJ123,216,39.7
(534073) 2014 QL441,216,49
(183595) 2003 TG58,214,44.3
(591392) 2013 PE84,214,46
(33128) 1998 BU48,213,33.1
(533207) 2014 DJ143,213,38.1
(559801) 2015 DX224,213,67.6
(82155) 2001 FZ173,212,85.2
(160147) 2001 KN76,212,44.1
(182294) 2001 KU76,212,45.4
(385201) 1999 RN215,212,43.3
(385447) 2003 QF113,212,44
(495297) 2013 TJ159,212,53.6
(496315) 2013 GP136,212,155
(508823) 2001 RX143,212,39.3
(523741) 2014 TY85,212,41.1
(530231) 2011 BV163,212,44
(533561) 2014 JN80,212,41.7
(559179) 2015 BR518,212,43.5
(603108) 2014 WB509,212,43.4
(126719) 2002 CC249,208,46.9
(469509) 2003 HC57,207,44.1
(508338) 2015 SO20,206,169
(534626) 2014 UT224,206,47.8
(553898) 2012 BZ159,206,44.6
(60620) 2000 FD8,205,43.8
(564160) 2016 FR59,205,36.2
(303712) 2005 PR21,203,44.5
53311 Deucalion,202,44.2
(85633) 1998 KR65,202,43.8
(119068) 2001 KC77,202,55.8
(363401) 2003 LB7,202,46
(505412) 2013 QO95,202,40.1
(506439) 2000 YB2,202,38.5
(523698) 2014 GD54,202,88.9
(525257) 2004 VS75,202,44.4
(533211) 2014 DU143,202,36.7
(535026) 2014 WV509,202,46.4
(535029) 2014 WG510,202,39
(535030) 2014 WJ510,202,67.9
(535990) 2015 BW518,202,44.7
(533028) 2014 AL55,201,43.4
(60454) 2000 CH105,200,44.2
(16684) 1994 JQ1,199,44.3
(531917) 2013 BN82,197,43.3
(385266) 2001 QB298,196,43
(182933) 2002 GZ31,195,51
(472262) 2014 QN441,195,46.4
(86047) 1999 OY3,194,44.2
(118702) 2000 OM67,193,98.9
(119066) 2001 KJ76,193,44
(183963) 2004 DJ64,193,44.2
(385199) 1999 OE4,193,45.8
(385445) 2003 QH91,193,39.6
(451657) 2012 WD36,193,76.5
(455206) 2001 FE193,193,46.9
(469584) 2003 YW179,193,42
(500838) 2013 GV137,193,44.1
(523618) 2007 RT15,193,39.5
(525596) 2005 JR179,193,47.2
(529823) 2010 PP81,193,53.1
(531142) 2012 FL84,193,106
(531683) 2012 UC178,193,42.1
(535986) 2015 BN518,193,46.2
(592147) 2014 OA394,193,47.1
(592245) 2014 QR441,193,68.9
(531076) 2012 DA99,192,42.8
(554780) 2013 AQ183,192,46.2
(531224) 2012 HK85,191,57.9
(555756) 2014 DH143,191,36.5
(506121) 2016 BP81,190,43.6
(511551) 2014 UD225,190,43.3
(523697) 2014 GY53,190,39.4
(535231) 2014 YJ50,190,39.2
(544430) 2014 UW224,189,55.1
(469514) 2003 QA91,188,44.7
(160256) 2002 PD149,187,43.2
(469506) 2003 FF128,187,39.8
(535987) 2015 BO518,187,46.3
(133067) 2003 FB128,186,39.8
(181708) 1993 FW,186,43.8
(532095) 2013 HY156,186,41
(535466) 2015 AK281,186,42.6
(536922) 2015 FP345,186,43.7
(59358) 1999 CL158,185,41.2
(66452) 1999 OF4,185,45.1
