Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(523735) 2014 QX441,341,38.7,0.04,26,36.9,40.5,other TNO
(15874) 1996 TL66,339,83.4,0.58,24,35,132,SDO
(230965) 2004 XA192,339,46.9,0.24,38,35.5,58.4,other TNO
(119979) 2002 WC19,338,47.5,0.26,9,35.3,59.8,twotino
(523617) 2007 PS45,336,48,0.2,20,38.3,57.7,twotino
(523749) 2014 UR224,336,50.3,0.22,11,39.2,61.4,other TNO
(553893) 2012 BW154,336,45.6,0.14,8,39.3,52,cubewano (hot)
(599752) 2010 VQ11,336,45,0.14,13,38.9,51.1,cubewano (hot)
(487581) 2015 BE519,335,47.5,0.06,25,44.5,50.5,other TNO
(523696) 2014 GW53,335,41.3,0.09,22,37.8,44.9,cubewano (hot)
(559181) 2015 BX518,335,42.7,0.17,28,35.2,50.1,cubewano (hot)
(307982) 2004 PG115,334,92.5,0.61,16,36.4,148,SDO
(523768) 2014 WQ510,333,39.3,0.16,23,33,45.7,plutino
(82158) 2001 FP185,332,217,0.84,31,34.3,400,ESDO
(523674) 2013 MA12,330,41.8,0.06,23,39.1,44.5,cubewano (hot)
(143991) 2003 YO179,328,44.3,0.13,19,38.5,50.2,cubewano (hot)
(471196) 2010 PK66,328,41.1,0.01,14,40.8,41.3,cubewano (hot)
(523643) 2010 TY53,328,39.1,0.46,23,21.1,57,centaur
(523680) 2013 YJ151,327,72.1,0.43,34,40.8,103,SDO
(542258) 2013 AP183,325,57.5,0.37,3,36.3,78.6,res · 3:8
(555757) 2014 DM143,324,44.8,0.09,11,40.6,49,cubewano (hot)
(523758) 2014 WJ509,322,42.7,0.14,21,36.8,48.7,cubewano (hot)
(79978) 1999 CC158,321,53.6,0.27,19,39,68.1,res · 5:12
(523675) 2013 PV74,321,50.5,0.23,2,38.7,62.3,SDO
(533209) 2014 DR143,321,39.3,0.29,10,27.9,50.7,plutino
(533560) 2014 JM80,321,63.1,0.27,21,46,80.2,SDO
(547893) 2010 WN75,321,40.6,0.09,28,36.9,44.4,other TNO
(307251) 2002 KW14,319,47.1,0.2,10,37.5,56.7,other TNO
(523691) 2014 DO143,318,47.3,0.1,4,42.7,51.9,twotino
(523712) 2014 JS80,317,48.6,0.18,15,40,57.1,other TNO
(471954) 2013 RM98,315,43.6,0.13,28,37.9,49.3,cubewano (hot)
(523684) 2014 CQ23,315,45.9,0.16,9,38.5,53.3,cubewano (hot)
420356 Praamzius,314,42.5,0.01,1,41.9,43,cubewano (cold)
(450265) 2003 WU172,312,38.9,0.25,4,29.2,48.7,plutino
(535989) 2015 BV518,312,44.6,0.04,2,42.9,46.3,cubewano (cold)
(470596) 2008 NW4,311,45.6,0.2,23,36.6,54.6,cubewano (hot)
(501546) 2014 JJ80,311,43.5,0.28,19,31.3,55.6,other TNO
(523722) 2014 LV28,311,70.2,0.51,11,34.3,106,SDO
(469306) 1999 CD158,310,43.5,0.15,26,37.1,49.9,cubewano (hot)
(470316) 2007 OC10,309,50.3,0.29,22,35.5,65.1,other TNO
(472231) 2014 FU71,308,43.6,0.08,3,40,47.2,cubewano (cold)
(469421) 2001 XD255,306,39.2,0.11,18,34.9,43.5,plutino
(533563) 2014 JW80,306,142,0.73,41,38.2,245,SDO
(538690) 2016 FP59,306,46.6,0.16,4,39.3,54,cubewano (cold)
(523744) 2014 TC86,304,43.8,0.06,1,41.2,46.5,cubewano (cold)
(575713) 2011 UT410,304,39.6,0.18,14,32.6,46.5,plutino
(500879) 2013 JH64,301,59.3,0.38,14,36.7,82,res · 4:11
(523723) 2014 MY69,301,40.7,0.05,17,38.7,42.7,other TNO
(543375) 2014 BX64,301,41.6,0.05,11,39.6,43.6,cubewano (hot)
(145453) 2005 RR43,300,43.3,0.14,29,37.1,49.4,Haumea
(363330) 2002 PQ145,300,44.1,0.04,3,42.4,45.9,cubewano (cold)
(523655) 2011 VJ24,300,39.4,0.19,10,32,46.8,plutino
(524531) 2002 XH91,300,43.7,0.09,5,39.6,47.8,cubewano (cold)
(523760) 2014 WQ509,297,39.1,0.14,10,33.5,44.8,plutino
(535020) 2014 WG509,297,42.5,0.09,21,38.9,46.1,cubewano (hot)
(471150) 2010 FC49,295,38.9,0.05,40,36.8,41.1,other TNO
(523634) 2010 AH2,295,40.3,0.04,18,38.6,42,other TNO
