Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(15820) 1994 TB,91,39.4,0.32,12,27,51.9,plutino
(468861) 2013 LU28,90,190,0.95,125,8.7,371,centaur
(542889) 2013 MY11,88,52.9,0.59,15,21.5,84.3,centaur
(552678) 2010 JG210,83,32,0.46,27,17.2,46.8,centaur
58534 Logos,82,45.1,0.12,3,39.8,50.3,cubewano (cold)
(143751) 2003 US292,81,42.1,0.25,8,31.5,52.8,res · 3:5
(523734) 2014 QV441,78,31.8,0.41,27,18.8,44.8,centaur
(503858) 1998 HQ151,77,39.8,0.29,12,28.3,51.3,plutino
(528219) 2008 KV42,77,41.7,0.49,103,21.1,62.2,centaur
(601690) 2013 KZ18,77,34,0.45,36,18.8,49.3,centaur
(516977) 2012 HZ84,74,46.3,0.2,5,37.2,55.4,cubewano (hot)
(471272) 2011 FY9,72,58.5,0.74,38,15.2,102,centaur
(523710) 2014 JF80,72,34.3,0.45,14,18.8,49.8,centaur
(558168) 2014 XQ40,72,66.8,0.73,15,18,116,centaur
(500885) 2013 JL65,70,39.6,0.23,7,30.4,48.8,plutino
(558093) 2014 WW535,70,34.3,0.3,19,24.1,44.5,centaur
(585912) 2020 QK3,68,32.5,0.58,24,13.5,51.5,centaur
(552474) 2010 AW153,67,43.1,0.53,29,20.1,66.1,centaur
(32929) 1995 QY9,66,39.5,0.26,5,29.2,49.9,plutino
(87269) 2000 OO67,64,566,0.96,20,20.7,1112,centaur
(585913) 2020 QQ7,59,38.6,0.64,24,14.1,63,centaur
(591370) 2013 ME14,59,37.6,0.5,37,19,56.3,centaur
(523753) 2014 WV508,57,53.5,0.71,21,15.6,91.5,centaur
(543377) 2014 BF70,54,90,0.87,11,11.6,169,centaur
(500884) 2013 JK65,53,39.8,0.26,20,29.3,50.3,plutino
(336756) 2010 NV1,52,303,0.97,141,9.4,596,centaur
(418993) 2009 MS9,50,386,0.97,68,11,761,centaur
(523719) 2014 LM28,46,278,0.94,85,16.8,539,centaur
(353222) 2009 YD7,45,119,0.89,31,13.4,225,centaur
(517717) 2015 KZ120,42,46.9,0.82,86,8.4,85.4,centaur
(523800) 2017 KZ31,38,54.1,0.8,162,11,97.3,centaur
(585899) 2020 HM98,37,83.6,0.84,138,13.3,154,centaur
(523733) 2014 PR70,36,71.2,0.8,8,14.4,128,centaur
(413666) 2005 VJ119,28,35.4,0.68,7,11.3,59.4,centaur
(241097) 2007 DU112,27,40.9,0.78,16,9.1,72.8,centaur
(523798) 2017 CX33,27,73.1,0.86,72,10.4,136,centaur
(567065) 2019 CY4,27,46.9,0.79,20,10.1,83.8,centaur
(582301) 2015 RM306,27,247,0.95,176,11.5,482,centaur
(523739) 2014 TZ33,24,38.3,0.76,86,9.4,67.2,centaur
(584778) 2017 RG16,24,77.8,0.91,75,7.1,149,centaur
(523797) 2016 NM56,23,73.5,0.86,144,10.5,136,centaur
486958 Arrokoth,17,44.6,0.04,3,42.7,46.4,cubewano (cold)
